epoch,dice
1,1.4147299360296282e-11
2,1.4147299360296282e-11
3,1.4147232700942837e-11
4,1.874918139065863e-06
5,0.0034110229780538854
6,0.07107590071039417
7,0.1953880929428598
8,0.26573646694853686
9,0.3142466181677074
10,0.35578838428848775
11,0.38160532922725005
12,0.3999591088443069
13,0.4081285496552785
14,0.41985364829037747
15,0.42305926747203615
16,0.418359268896328
17,0.43602819879602944
18,0.421767345681694
19,0.4378123809708818
20,0.4372245156616898
21,0.44579249385968006
22,0.4436535138027515
23,0.4513767866367632
24,0.4550993275321542
25,0.4542107814710826
26,0.4650875540993969
27,0.4546391815255641
28,0.4725049526795097
29,0.47737211112403477
30,0.4777832590274929
