epoch,dice
1,0.00028272926072387235
2,0.3730908937690672
3,0.3943626205783245
4,0.4190156124840098
5,0.43701386057640895
6,0.462360585524031
7,0.4629779733902167
8,0.46362347051131825
9,0.5343504001286404
10,0.4640002903366877
11,0.6074654868811615
12,0.5512564440896689
13,0.5993518376153363
14,0.6428638425740328
15,0.7085683523130811
16,0.7156018920181212
17,0.7316268909076029
18,0.7436113101391753
19,0.7547935365645353
20,0.7785619216516984
21,0.7782801438954251
22,0.789844117381356
23,0.7907621032935529
24,0.7970511696555398
25,0.8025997704710842
26,0.8056273952988554
27,0.812456863970796
28,0.8108725281786328
29,0.8113870394131368
30,0.8114152299471138
