epoch,tr_loss,tr_dice,va_loss,va_dice
1,0.7307310071484796,0.3359489584791249,0.7299231734769097,0.36158081313659407
2,0.6666664431835043,0.4042684160429856,0.6404791905962187,0.4321803717777647
3,0.6253046146754561,0.4494041122239211,0.597033021778896,0.4677198903313999
4,0.5756895702460717,0.5119770222696765,0.5418780133641999,0.5342662165904867
5,0.5267024348522055,0.5541181155319872,0.5053502748752462,0.5528316041518901
6,0.4764031936382425,0.5930079698562623,0.4510825091394885,0.5896639881462886
7,0.4289396974547156,0.6246311767347927,0.40856007214250234,0.6365788130924619
8,0.3868887352532354,0.6537707230140423,0.36861019216734786,0.6559176642319252
9,0.3438271485525986,0.687559700012207,0.37565077358278737,0.6353178279153232
10,0.3217866934578994,0.6962713710192976,0.34211646092349085,0.6725594265707608
11,0.28617855885933186,0.7324925356897815,0.3216112679448621,0.6785707276442955
12,0.28269233847486563,0.7233021135987907,0.3206727869551757,0.6788690032630131
13,0.25355532457088603,0.7546533124200229,0.29018892604729224,0.7018218155564933
14,0.249851059708102,0.7563625253480056,0.2645532361392317,0.7362904967932865
15,0.2347993250550895,0.7723558894519148,0.2695097960274795,0.7249767373348105
16,0.2313110731799027,0.7756543751420646,0.2429281487547118,0.7533093518224255
17,0.21432738674098048,0.7908557139593979,0.2458554822823097,0.7528185186714962
18,0.20127488621349993,0.8052288984430247,0.22284460519922192,0.7743575227671656
19,0.2023155514536233,0.8021137484188737,0.22977745121922985,0.7661693531891395
20,0.202460201444297,0.8025208752730797,0.231877208167109,0.7637142559577679
21,0.19487065827024394,0.8116454186110661,0.22591542056922254,0.7718833331404061
22,0.1844112522643188,0.8214747223360785,0.21999205700282393,0.7775315062753085
23,0.17555707687961644,0.8310564369990908,0.2661494937436334,0.7227505712673582
24,0.18196704521261411,0.8229023522344129,0.21441157480766032,0.7809021213959003
25,0.17943226355930855,0.8249396513248312,0.20683134465382016,0.7894322559751313
26,0.17305851085432644,0.8327098986198163,0.22167152001939971,0.7729956174718923
27,0.17519433693639164,0.8297940965356498,0.22425075255591295,0.7721733327569633
28,0.17218930967922869,0.8316235262772133,0.20600223068533272,0.7919020036171223
29,0.16737768793928212,0.8377966428625172,0.19483468429795628,0.803638849587276
30,0.15457160298166603,0.8507512692747445,0.22349194103273853,0.7734941277010687
31,0.1527800614463872,0.8522757476773756,0.20109915666539094,0.7957990662804966
32,0.14995568795450803,0.8516224384307861,0.19235638539338934,0.8032322710958021
33,0.1469932560263009,0.8574219087074543,0.19094358004372694,0.8062812994266378
34,0.14721811490839926,0.8565205056091835,0.18251021879500356,0.8142548298013621
35,0.14492964338639686,0.8587701115114935,0.216973379562641,0.7805290312602602
36,0.14462705490917996,0.8596648166919577,0.17850763355863505,0.8183189716832391
37,0.1463998655820715,0.8571325030820123,0.18930591884358175,0.807406655673323
38,0.13883515729986387,0.8641052965460152,0.17954651076218178,0.8190273264358784
39,0.13777640903818197,0.8649733128218815,0.17793628763535926,0.8220636528113793
40,0.1375515210217443,0.8662549158622479,0.17809534853902356,0.8196219797792106
41,0.12966577760104475,0.873683630186936,0.18272953845303633,0.8140355163607104
42,0.13465940705661117,0.8674595939702001,0.17586631800594002,0.8212689280509948
43,0.13158613135074748,0.8719515619606807,0.17841920431317954,0.820866479544804
44,0.1322049568439352,0.872133797201617,0.185382591033804,0.8133539257378414
45,0.12770728808024834,0.8756586461231626,0.17710954043371924,0.817630593530063
46,0.1271686218935868,0.8762266841428034,0.1753184832375625,0.8188884319930241
47,0.1258420027021704,0.8768724408642999,0.196483517309715,0.8023648253802595
48,0.1354905537490187,0.8690571489005253,0.17949070324157845,0.8208433200573099
49,0.12555040907243203,0.8774779011463297,0.16694846810965702,0.8311546136592997
50,0.12242074793782727,0.879458146670769,0.18228858195502182,0.8161682334439507
51,0.11884422240586116,0.8832887665978794,0.19902710102755447,0.8078050843600569
52,0.12492032564919571,0.8783103379709968,0.16093538835130888,0.839314316058981
53,0.11777931832034012,0.8825395271695894,0.169407329168813,0.8288679558655311
54,0.1139837956634061,0.8874331794936081,0.16679619894973163,0.829293901755892
55,0.12428788285830926,0.8771760373279966,0.1724507627816036,0.8248347191975034
56,0.11689719753018742,0.8841505289077759,0.17771920479577163,0.8208821424122514
57,0.1143367887057107,0.8890529163952532,0.1799665601089083,0.8217601315728549
58,0.11527492681453969,0.8878103548082812,0.16979893887865133,0.8255437633086895
59,0.11781496302834872,0.8844948743951732,0.18886343841922695,0.8121453749722448
60,0.12778550222002227,0.874828499761121,0.18677481382057584,0.8109711671697682
61,0.11400510668754578,0.889243904475508,0.17125878025745522,0.8242881511819774
62,0.10748777235376424,0.8941246361568056,0.17190879470315473,0.8232550538819412
