epoch,dice
1,0.051426239361828406
2,0.527536458233622
3,0.5360672465269116
4,0.5590545727599482
5,0.5688305484828988
6,0.5580941562079988
7,0.5894842123146136
8,0.5820156966430553
9,0.6001412942542793
10,0.6309731542200282
11,0.6232747323271157
12,0.6251834387858215
13,0.6515001184451654
14,0.6635758080837889
15,0.6726266772603889
16,0.673587301503057
17,0.6775828005117412
18,0.6871554357911736
19,0.6847592650239759
20,0.7017915601809326
21,0.7032712473385576
22,0.7119574262982323
23,0.7089295552630849
24,0.7261490006130922
25,0.7324013110273373
26,0.7183975978420881
27,0.7373874379981379
28,0.7422837682885907
29,0.7402457390019118
30,0.7449002001843343
