epoch,dice
1,0.019858650139841984
2,0.4663345188148751
3,0.4545943209947633
4,0.42907917179351995
5,0.5028366303640949
6,0.49985396492579753
7,0.4852421946269422
8,0.5477290557435721
9,0.5934948123191014
10,0.6910948004604371
11,0.6352369341968505
12,0.6853805844448815
13,0.6798592382226109
14,0.732940535407421
15,0.7626316251833577
16,0.7552743130478977
17,0.7462424926521364
18,0.7565076730468057
19,0.7624247517467531
20,0.7848513190411339
21,0.7770595900283372
22,0.8092379235039072
23,0.81243545063271
24,0.8039886222397985
25,0.8155717967955534
26,0.8260267293157656
27,0.8256252866145993
28,0.8285227787396139
29,0.8282463476677572
30,0.8275566721750685
