epoch,dice
1,0.42383581251831526
2,0.5015777933177987
3,0.5209725010469093
4,0.5687778625429046
5,0.5821470662056782
6,0.5744038428455653
7,0.6082655672701249
8,0.5995600590054293
9,0.6135670151522935
10,0.6576491419079388
11,0.6315215273179869
12,0.6703657235788263
13,0.700788662793967
14,0.7299209807230078
15,0.7405696506332413
16,0.7269991422785489
17,0.7400960742069821
18,0.7579701761281268
19,0.7417700800342836
20,0.7602102323348477
21,0.7730187441744913
22,0.7509262105199368
23,0.7816768223207683
24,0.7858314614118256
25,0.7719381148030299
26,0.7726835724483119
27,0.7908320872433191
28,0.7970829401203811
29,0.7840711732335219
30,0.8044585047548108
