epoch,tr_loss,tr_dice,va_loss,va_dice
1,0.5698171496391297,0.3507536283854781,0.6467409701182925,0.170516189496065
2,0.49012950925991455,0.45945902096814123,0.4575302132244768,0.50472106255334
3,0.4649460291040355,0.4919984562643643,0.4482193897510397,0.5011134515548574
4,0.4477684995223736,0.5133045948784927,0.4398792238071047,0.5402898780230818
5,0.43764532619509205,0.5235746054813779,0.41085783715905816,0.5584415548834307
6,0.4240948712003642,0.5402828808488517,0.4100481707474281,0.5567600605816677
7,0.4121457550032385,0.5557998468135965,0.3887603091782537,0.5913936446452963
8,0.4062964661368008,0.5629043447560278,0.4072034336369613,0.5606236753792598
9,0.3843594454485795,0.5867800169977648,0.3893839585370031,0.5844205548023356
10,0.3834583048162789,0.5910863235079009,0.3775713392372789,0.5968183932633235
11,0.3770010613161942,0.5983524778793599,0.38236448620927743,0.6030788035228335
12,0.36730506358475523,0.6086910284798721,0.35792636994657845,0.6261567255546306
13,0.3555043845341123,0.6240895929007695,0.34459491762621647,0.6421355481805473
14,0.3523189108947228,0.6294958661342489,0.35906570594886256,0.6346904980725255
15,0.36439778105965975,0.6168634665423426,0.34499888440658305,0.6404231597637308
16,0.34727986866030197,0.634962824295307,0.3233752191066742,0.6646110789529208
17,0.32749131979613466,0.6587153969139888,0.3086035878493868,0.6815022748092125
18,0.31452578470624726,0.6720451322095148,0.3043439844558979,0.685210191586922
19,0.3062670436398736,0.6837538275225409,0.30724684513848405,0.6876379152824139
20,0.2989840404740695,0.6908583682158898,0.2791763996255809,0.7155453090010018
21,0.2880460525381154,0.7045751949836467,0.29230228498064237,0.7083450662678685
22,0.29351301624857146,0.7013100229460617,0.26707695044320207,0.7327452725377576
23,0.27235290140941226,0.7224431428416022,0.28384634318022894,0.7185642209546319
24,0.27904960862521466,0.7162724161970204,0.303318695158794,0.6923425719655794
25,0.27397525947669454,0.7233215591003155,0.25886970049348373,0.7443581334475813
26,0.26188454710204023,0.7354127069999432,0.24867109902973833,0.7567253786942054
27,0.2518652441172764,0.7415211060951497,0.2654850265075421,0.7328311858506038
28,0.24038443400942047,0.7589750010391761,0.2549374716035251,0.7582717681753224
29,0.25635665675689434,0.741449773311615,0.24868467552908535,0.7514905284191
30,0.2266354803381295,0.7765896797180176,0.22878577349514798,0.7732203405478905
31,0.22897105443066565,0.7718988319923138,0.2297482394966586,0.7717931171943402
32,0.2219804417470406,0.7775744043547531,0.22497241312059862,0.7714365486440987
33,0.21556436542806953,0.7849319860852998,0.2362503434049672,0.7673900406936119
34,0.2197607192499884,0.7801873235866941,0.2312953670477045,0.7740272916596511
35,0.2299756941096536,0.7712156789056186,0.26870333089910703,0.7469150411671606
36,0.22309388836909985,0.7785081707198044,0.2111083792201404,0.7958023301486311
37,0.20949586784017496,0.7889736561939634,0.21104909232978164,0.7953230381011963
38,0.1958998292684555,0.8046355712002722,0.1939845426329251,0.8120130070324602
39,0.2000727646309754,0.7985071967388021,0.287462749152348,0.7292384057209409
40,0.2009826044584143,0.7987183648964454,0.21188557559046253,0.795303958037804
41,0.21085049972451966,0.7914110459130386,0.21180326866692512,0.795496036677525
42,0.19371666291664386,0.8071718840763487,0.23114423361317865,0.7794736237361514
43,0.19667109816238798,0.8055668493797039,0.1978410293316019,0.8041544675827026
44,0.1863532763616792,0.8150081823612082,0.1881722941480834,0.8156685960703882
45,0.18001538658964222,0.8206545274833154,0.17324498586099724,0.8313368419121052
46,0.1792069073381095,0.8205577891448449,0.17496518610880293,0.8277846213044792
47,0.18033312456361178,0.8233491601615116,0.20945947704644038,0.8004110328082381
48,0.18623986614161525,0.81593295294663,0.18385328239408033,0.8120214334849654
49,0.18131371109650052,0.8188003001541927,0.2001057260509195,0.8013841920885546
50,0.17960350349031645,0.8208702638231474,0.22071089641801242,0.7887712980138845
51,0.18909739872504924,0.8134163502989145,0.18022465048165157,0.8202651163627361
52,0.17345562104521126,0.827472472190857,0.17753749515475897,0.8264036663647356
53,0.17005817792538938,0.8300338502587943,0.16680657473103752,0.838756288742197
54,0.17043573332243953,0.8322884814492587,0.21440526205917884,0.7952219806868455
55,0.16441357166602694,0.8353437982756516,0.16279986660028326,0.8436380304139236
56,0.162560503287562,0.8380593160103107,0.16979812296300098,0.8302086665712554
57,0.1432471406870875,0.8590514314585719,0.170989059014567,0.8307581145187904
58,0.15063182279981416,0.850901327462032,0.1758307158946991,0.8318668612118425
59,0.17952087398233085,0.822253285605332,0.1820416275283386,0.8207292462217397
60,0.15847489885215102,0.8423859805896364,0.18256690317186816,0.826785658967906
61,0.1519962080593767,0.8498150578860579,0.16418123568954138,0.8368299311604993
62,0.14973204875814503,0.8522896844765235,0.19336339764553925,0.8181909931117091
63,0.15401695946167254,0.8484067522246262,0.15848532514325503,0.8430705432234139
64,0.1455294224722632,0.8542719816339427,0.15785384907804687,0.844813858640605
65,0.14089520275592804,0.8596918714457544,0.1631695788995973,0.8407368865506403
66,0.1481940366070846,0.8531019428680683,0.15828973548165684,0.8428426631565752
67,0.14146867702747212,0.8583894228113109,0.18171698507563822,0.8325141035277268
68,0.14040801586775944,0.8604770158899242,0.16484420499924957,0.840397638699104
69,0.14971629216753204,0.8561140857893845,0.19789896103842505,0.8239030624258107
70,0.14774749330405532,0.8550867582189625,0.2041543896855979,0.8040109576850102
71,0.1734256479246863,0.8268215278099323,0.16691374542384313,0.8327387608330825
72,0.15066616997636598,0.8517915754482663,0.157715887473575,0.853496699086551
73,0.13436169814446877,0.866507912504262,0.19047144009121533,0.8302238197162234
74,0.13104976282037537,0.8697270015190388,0.14510682525819746,0.8588004663072784
75,0.13413133199872643,0.8648209752707646,0.1511455636086135,0.8533420587408131
76,0.13659833572034177,0.864924590340976,0.16417870963441913,0.8380553483963012
77,0.13319019849958091,0.8672910534102342,0.14935500837605575,0.8548271532716423
78,0.130266344752805,0.8688430222971686,0.1466865614313504,0.8563617940606743
79,0.1226786906863081,0.8777889983407382,0.146269108303662,0.8586050715939751
80,0.12714605151579297,0.872841621678451,0.13599192286873685,0.8680482987699838
81,0.11855896916882745,0.8802931308746338,0.15635002132119805,0.8556099365497457
82,0.1184118927038949,0.8817883680606711,0.1411752636576521,0.8632827561477135
83,0.1226423925366895,0.8774459267484731,0.16187053849471025,0.8501699505181148
84,0.13518768733945385,0.8675795957959932,0.18754452544039693,0.8159372395482557
85,0.13896066988336628,0.8608889505780977,0.1497553491386874,0.8595578588288406
86,0.11517629202069907,0.88383549451828,0.14283263989049813,0.8654426130755194
87,0.11446853172162484,0.8854345186003323,0.1392720277967124,0.8638303773156528
88,0.11132939992279842,0.8872593148001309,0.13872131281371775,0.8652750500317278
89,0.12427188260801907,0.8757385040151662,0.17969122970926352,0.8286766298886004
90,0.11715071807647573,0.8838572489804235,0.14394570427208112,0.8596182132589406
