epoch,dice
1,0.016506243642338568
2,0.3930521357503737
3,0.42799008312185854
4,0.44778738807940827
5,0.44363676711886074
6,0.45183593207511347
7,0.5032785684795853
8,0.4849877299482531
9,0.4826693074550194
10,0.560509591369155
11,0.5947849064386657
12,0.6178582783934986
13,0.5932264026894579
14,0.6569043703947995
15,0.6945625648488662
16,0.7261769342126313
17,0.7370501085344555
18,0.6982811391970632
19,0.7667846637729779
20,0.7887393353395087
21,0.7724886439108207
22,0.8003489799627853
23,0.807477463106191
24,0.8160060484957251
25,0.8199613153564264
26,0.8269681508496681
27,0.8266315150458373
28,0.8308578803672554
29,0.8284250295433692
30,0.8287106488308797
