,dice,dice.1,iou,iou.1,f2,f2.1,mae,mae.1,s_measure,s_measure.1,e_measure,e_measure.1,model
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,cd_polypnet
dataset,,,,,,,,,,,,,cd_polypnet
CVC-300,0.6566369989265998,0.10868975820663586,0.5079339306387636,0.10741698025067041,0.7202187673085266,0.10681784136284204,0.0660088816140261,0.01957578475681772,0.8721119073461051,0.03487553577464673,0.7707023718980728,0.05995257232635288,cd_polypnet
CVC-ClinicDB-Test,0.7668503666917483,0.06989646887338352,0.6313423325618108,0.08398378260388364,0.7846096093455951,0.07226700365917457,0.04821261359999577,0.01634740826070429,0.909409717621193,0.026929825477779768,0.8266518585605636,0.056096349717924064,cd_polypnet
CVC-ColonDB,0.5186079582716856,0.0757593887277209,0.37158135431559963,0.06858192674473274,0.5742627095224129,0.0814293917736152,0.07450414247966061,0.010557226216510035,0.827777910589551,0.02292481895508679,0.6959805579148922,0.035556272608164026,cd_polypnet
ETIS,0.43297779459792834,0.0722728979786179,0.2944979245272966,0.05865811325147044,0.43964311195871775,0.08397378953978595,0.06853612104478554,0.021494338934745318,0.8203748868061945,0.024493517113222868,0.5950728308122891,0.045287604082069687,cd_polypnet
EndoScene-Val,0.7228965993763672,0.08132883333826586,0.5865720747245683,0.08709165614803,0.7358207523822784,0.08926449867319117,0.03917908711979787,0.014186139970785362,0.9072769507706638,0.02570446804810722,0.7909323423021725,0.06785657005431726,cd_polypnet
Kvasir-Test,0.7342890103658041,0.04694509801826631,0.5846308146204268,0.05677469374430162,0.7291212388447352,0.054130805034472755,0.10506209195369766,0.023489935202702966,0.8706970405010951,0.025286896576433297,0.7790067597514108,0.045362392924990946,cd_polypnet
