epoch,dice
1,0.23071717555725302
2,0.3902487424096212
3,0.4506059962770213
4,0.4439166975564345
5,0.4645759733567327
6,0.5048183935769597
7,0.5433480266335095
8,0.5162606942727699
9,0.551288123950208
10,0.46571206460334746
11,0.5390862746021515
12,0.5666965481904229
13,0.5651964845124239
14,0.5636136667575402
15,0.5967554360566426
16,0.6004870410538115
17,0.5975512787545443
18,0.6103883673192058
19,0.6227364758527056
20,0.6083629242381694
21,0.633618354303743
22,0.6289296746253967
23,0.6354684846988623
24,0.6527808839243144
25,0.6557611999551208
26,0.6499872851816023
27,0.6611437933291955
28,0.6679940820974346
29,0.6673305751620859
30,0.6673691605929262
