epoch,dice
1,0.2841682941460412
2,0.5051782379958255
3,0.5324635835718518
4,0.44183165869436974
5,0.5693909289423099
6,0.5870104412402003
7,0.5665623323976501
8,0.5862761942808293
9,0.6307467813334189
10,0.6480597218206107
11,0.673956542468268
12,0.6946681205891381
13,0.6951690715206557
14,0.7040440272693792
15,0.7188784046606584
16,0.7411636971245127
17,0.7226597903188595
18,0.7167528202711058
19,0.7238960231631255
20,0.7418255007956639
21,0.7586736472184993
22,0.7574875497620953
23,0.763079410742137
24,0.7336095162659637
25,0.762250470721032
26,0.7760634954310646
27,0.7807475052589228
28,0.7661549660785139
29,0.7769676712918873
30,0.7895167484756344
