epoch,tr_loss,tr_dice,va_loss,va_dice
1,0.5492126563499714,0.2863313512555484,0.4997998747332343,0.4181754811056729
2,0.4465265183613218,0.4434954110918374,0.4393087728270169,0.4848445703243387
3,0.4126128077507019,0.49134169529224264,0.4283447294399656,0.5146980178767238
4,0.3836739244132206,0.5319864675916475,0.38751693676257953,0.5478681284805824
5,0.3616647370930376,0.5625699635209709,0.42089964398022356,0.5507223943184162
6,0.3359894135902668,0.5963732143928264,0.3270015377422859,0.6408428833402436
7,0.30627862050615506,0.6501184710140886,0.2980515884942022,0.6796025204247442
8,0.274373459815979,0.6898709428721461,0.3136955507870378,0.6530372397652988
9,0.2596644504316922,0.7060469639712367,0.2494899609993244,0.7301487918557792
10,0.23652502668314968,0.7305136068113919,0.22859846559064143,0.7532716652442669
11,0.22345364402080403,0.7494644428121633,0.22358804427344223,0.765590173211591
12,0.20645906103068384,0.7689618788916489,0.20569408720937268,0.7963843789593926
13,0.20916388127310523,0.7640808158907397,0.20531187324688352,0.7803541397226268
14,0.19652578974592275,0.7842169942526982,0.19162452878623173,0.8001714731084889
15,0.18392397288618417,0.7983211435120682,0.1953018751637689,0.7944911570384585
16,0.182533188626684,0.7947019823666277,0.18947258920505128,0.7989101015288255
17,0.17464764950604275,0.808687070731459,0.1667022598200831,0.8351295499966063
18,0.17005123208309042,0.8099113612339415,0.17475353911005218,0.8206022443442509
19,0.16446788907051085,0.8194446374630106,0.17386721639797606,0.8291256756618105
20,0.16130803659044463,0.8202734885544612,0.15953269395334968,0.8324091586573371
21,0.17681882874719027,0.8062147822873346,0.1749269109347771,0.8207449662274328
22,0.164106507959037,0.8166452670919484,0.16562974792102286,0.8304475023828704
23,0.15691935800272844,0.8279671570350384,0.16451753110721193,0.8349693750513011
24,0.1531240324521887,0.8327388138606631,0.17035021134491624,0.8264750710849105
25,0.15379485056318085,0.8296214255793342,0.16656361299342123,0.8295746392217176
26,0.14776108516701336,0.8353865816675383,0.19187295066899268,0.815896278414233
27,0.15178651347242553,0.8360185097003805,0.16950165649940227,0.8263682945021268
