epoch,tr_loss,tr_dice,va_loss,va_dice
1,0.6710346604215688,0.3765269998846383,0.6542152121149261,0.39104508325971404
2,0.6167091139431657,0.45343826557027883,0.5873581910955494,0.4854803648488275
3,0.587306954531834,0.492037427014318,0.5500814783162085,0.5427789868979619
4,0.5677201530029033,0.5152155008809319,0.5341744422912598,0.5524689685681771
5,0.5519402298434027,0.528528238576034,0.5475789164674694,0.5424895652409257
6,0.5390383440872718,0.539514614590283,0.5434653179398898,0.5481038383368788
7,0.5235276374323615,0.5592413002047045,0.49183341305831385,0.6187508151449006
8,0.5092345293225913,0.5717077925287444,0.49189153334190105,0.5947205917588596
9,0.4895217034323462,0.5953680194657425,0.5317776589558042,0.531584331907075
10,0.4730534269891936,0.5979896652287451,0.43794203626698464,0.6453628233794508
11,0.44601164974015334,0.6290713474668306,0.41786434650421145,0.644447855394462
12,0.41977043213515447,0.6485624181813208,0.4611823295724803,0.5925154903839375
13,0.39885332378847843,0.6596565497332606,0.38151028896200245,0.6947137358887442
14,0.3720510466345425,0.6803415643757788,0.3417637128254463,0.7067170003364827
15,0.3586577953963444,0.6728364278530252,0.33564855353585604,0.6976398241930994
16,0.3283390904295033,0.7073254330404873,0.3226714483622847,0.6991987851159326
17,0.3192353748042008,0.7027422769316312,0.37203167553605704,0.6295016675159849
18,0.29571609723156894,0.7265063844878098,0.29087378403236125,0.7297391483495975
19,0.2915227598157422,0.7209049956551914,0.30240804943545113,0.7105028736180272
20,0.27382461942475417,0.7379215404905122,0.2657098342632425,0.7481701332947304
21,0.2598583883252637,0.7512157584058827,0.27757076477182324,0.7420105913589741
22,0.2557403482239822,0.7523855098362626,0.2993061028677842,0.7138344879808097
23,0.2492336850741814,0.7570163508941388,0.2863170903304528,0.7257771130265861
24,0.25807213433857623,0.7452240524620846,0.2552642368037125,0.7649481588396533
25,0.2398981301948942,0.7673805162824433,0.24840358413498978,0.7611037355044793
26,0.227834251214718,0.7794251351520933,0.21057511321429548,0.7949904195193587
27,0.22069723986346146,0.7821771617593436,0.24407153684517433,0.7698560496856426
28,0.22752764759392574,0.775331883183841,0.20366404344295633,0.8030722593439037
29,0.2139680013574403,0.7900734778108268,0.21526500212735145,0.7911687661861552
30,0.2064634635530669,0.79727366628318,0.24356053245478662,0.7711476194447484
31,0.2019363845216817,0.802895214639861,0.23967095449053008,0.775906908101049
32,0.19261710869854895,0.8127374899798426,0.31990629804545434,0.7068176018780675
33,0.1947593423826941,0.8090131973398142,0.23134344898421189,0.7821093355787212
34,0.19291688594324835,0.8125875193497231,0.19186591115491144,0.8144448285472804
35,0.19379027270037552,0.8094931388723439,0.22524502154054313,0.7960541523736099
36,0.18994620483497093,0.8168851145382585,0.2081880470802044,0.8035604238510132
